"soundingID","date","hour","Longitude","Latitude","inSmoke","GISExists","NOXEmission","NOXPercentOfMax","maxNOX"
"Run03959_Seq0663_Scan002",20060501,0.0783333480358124,-159.69789,26.368231,NA,TRUE,NA,NA,26383369719808
"Run03959_Seq0966_Scan004",20060501,7.1094446182251,-69.409042,54.819572,NA,TRUE,NA,NA,26383369719808
"Run03959_Seq0967_Scan002",20060501,7.11833333969116,-70.173546,53.283813,NA,TRUE,NA,NA,26383369719808
"Run03959_Seq0967_Scan003",20060501,7.12722206115723,-70.955727,51.602592,NA,TRUE,NA,NA,26383369719808
"Run03959_Seq0967_Scan004",20060501,7.13611125946045,-71.661125,49.988293,NA,TRUE,303660359.5625,0.00115095366053457,26383369719808
"Run03959_Seq0968_Scan002",20060501,7.14499998092651,-72.300186,48.441177,NA,TRUE,142455351120,0.539943732104273,26383369719808
"Run03959_Seq0968_Scan003",20060501,7.15388870239258,-72.961372,46.749569,NA,TRUE,255165636352,0.967145740145649,26383369719808
"Run03959_Seq0969_Scan002",20060501,7.17166662216187,-74.115738,43.571709,NA,TRUE,287282570400,1.0888774764215,26383369719808
"Run03959_Seq0969_Scan003",20060501,7.18055534362793,-74.692192,41.871689,FALSE,TRUE,582878486144,2.20926474644514,26383369719808
"Run03959_Seq0969_Scan004",20060501,7.18944454193115,-75.222282,40.241665,FALSE,TRUE,10754593149952,40.7627731565984,26383369719808
"Run03959_Seq0972_Scan002",20060501,7.23388910293579,-78.463531,28.855404,FALSE,TRUE,0,0,26383369719808
"Run03959_Seq1039_Scan004",20060501,8.80722236633301,-98.282593,45.136295,NA,TRUE,486992208512,1.84583020927148,26383369719808
"Run03959_Seq1044_Scan002",20060501,8.90499973297119,-104.41216,23.938263,FALSE,TRUE,495684013504,1.87877446576452,26383369719808
"Run03959_Seq1105_Scan004",20060501,10.3361110687256,-107.60911,68.971352,NA,TRUE,NA,NA,26383369719808
"Run03959_Seq1107_Scan004",20060501,10.3805551528931,-116.07259,59.623981,NA,TRUE,NA,NA,26383369719808
"Run03959_Seq1108_Scan002",20060501,10.3894443511963,-117.02596,58.103046,NA,TRUE,NA,NA,26383369719808
"Run03959_Seq1108_Scan004",20060501,10.4072217941284,-118.84295,54.834648,NA,TRUE,NA,NA,26383369719808
"Run03959_Seq1110_Scan004",20060501,10.4516668319702,-123.00109,45.141068,NA,TRUE,4003541735680,15.174489756986,26383369719808
"Run03959_Seq1111_Scan002",20060501,10.4605560302734,-123.55273,43.586979,FALSE,TRUE,167358545488,0.634333473189178,26383369719808
"Run03959_Seq1112_Scan003",20060501,10.4872226715088,-125.6641,36.991123,NA,TRUE,NA,NA,26383369719808
"Run03961_Seq0001_Scan002",20060501,12.0161113739014,-138.26082,63.112862,NA,TRUE,NA,NA,26383369719808
"Run03961_Seq0001_Scan017",20060501,12.0427780151367,-142.22897,57.281097,NA,TRUE,NA,NA,26383369719808
"Run03961_Seq0001_Scan024",20060501,12.0605554580688,-143.71753,54.530506,NA,TRUE,NA,NA,26383369719808
"Run03961_Seq0001_Scan029",20060501,12.0694446563721,-144.6788,52.557087,NA,TRUE,NA,NA,26383369719808
"Run03961_Seq0001_Scan053",20060501,12.1049995422363,-148.4688,43.015926,NA,TRUE,NA,NA,26383369719808
"Run03961_Seq0001_Scan059",20060501,12.1227779388428,-149.2645,40.616421,NA,TRUE,NA,NA,26383369719808
"Run03961_Seq0001_Scan069",20060501,12.1405553817749,-150.49707,36.608723,NA,TRUE,NA,NA,26383369719808
"Run03961_Seq0001_Scan074",20060501,12.1494445800781,-151.0768,34.600941,NA,TRUE,NA,NA,26383369719808
"Run03961_Seq0001_Scan078",20060501,12.1583337783813,-151.52556,32.99313,NA,TRUE,NA,NA,26383369719808
"Run03966_Seq0001_Scan005",20060501,13.6605558395386,-163.88103,61.953571,NA,TRUE,NA,NA,26383369719808
"Run03966_Seq0001_Scan009",20060501,13.6694440841675,-164.9901,60.402378,NA,TRUE,NA,NA,26383369719808
"Run03982_Seq0001_Scan024",20060501,21.4827785491943,-120.79932,25.274593,FALSE,TRUE,0,0,26383369719808
"Run03982_Seq0001_Scan026",20060501,21.4827785491943,-120.99847,26.081047,FALSE,TRUE,0,0,26383369719808
"Run03982_Seq0001_Scan042",20060501,21.5183334350586,-122.67271,32.525978,FALSE,TRUE,0,0,26383369719808
"Run03982_Seq0001_Scan044",20060501,21.5183334350586,-122.89368,33.330265,FALSE,TRUE,0,0,26383369719808
"Run03982_Seq0001_Scan046",20060501,21.5272216796875,-123.11779,34.13438,FALSE,TRUE,0,0,26383369719808
"Run03982_Seq0001_Scan052",20060501,21.536111831665,-123.80988,36.543831,FALSE,TRUE,0,0,26383369719808
"Run03982_Seq0001_Scan056",20060501,21.5450000762939,-124.28961,38.148411,FALSE,TRUE,0,0,26383369719808
"Run03982_Seq0001_Scan059",20060501,21.5538883209229,-124.66003,39.35078,FALSE,TRUE,0,0,26383369719808
"Run03982_Seq0001_Scan065",20060501,21.5627784729004,-125.4317,41.752064,NA,TRUE,2599033094.4375,0.00985102783321195,26383369719808
"Run03982_Seq0001_Scan066",20060501,21.5627784729004,-125.56475,42.152302,NA,TRUE,NA,NA,26383369719808
"Run03982_Seq0001_Scan069",20060501,21.5716667175293,-125.97176,43.351376,NA,TRUE,NA,NA,26383369719808
"Run03982_Seq0001_Scan076",20060501,21.5894451141357,-126.97352,46.143223,NA,TRUE,NA,NA,26383369719808
"Run03982_Seq0001_Scan077",20060501,21.5894451141357,-127.1234,46.541946,NA,TRUE,NA,NA,26383369719808
"Run03982_Seq0001_Scan080",20060501,21.5983333587646,-127.5834,47.73579,NA,TRUE,NA,NA,26383369719808
"Run03982_Seq0001_Scan082",20060501,21.5983333587646,-127.89964,48.530373,NA,TRUE,NA,NA,26383369719808
