"soundingID","date","hour","Longitude","Latitude","inSmoke","GISExists","NOXEmission","NOXPercentOfMax","maxNOX"
"Run04413_Seq0041_Scan002",20060701,9.83833312988281,-101.53397,67.460205,FALSE,TRUE,NA,NA,26383369719808
"Run04413_Seq0042_Scan002",20060701,9.85611152648926,-105.91029,62.797424,FALSE,TRUE,NA,NA,26383369719808
"Run04413_Seq0042_Scan003",20060701,9.86499977111816,-107.14538,61.152618,FALSE,TRUE,NA,NA,26383369719808
"Run04413_Seq0042_Scan004",20060701,9.87388896942139,-108.2246,59.568893,FALSE,TRUE,NA,NA,26383369719808
"Run04413_Seq0043_Scan002",20060701,9.87388896942139,-109.17542,58.047615,FALSE,TRUE,NA,NA,26383369719808
"Run04413_Seq0043_Scan003",20060701,9.88277816772461,-110.13525,56.380848,FALSE,TRUE,NA,NA,26383369719808
"Run04413_Seq0043_Scan004",20060701,9.89166641235352,-110.9882,54.779076,TRUE,TRUE,NA,NA,26383369719808
"Run04413_Seq0044_Scan004",20060701,9.91833305358887,-113.23773,49.946857,FALSE,TRUE,1310617308672,4.96758875985436,26383369719808
"Run04413_Seq0045_Scan002",20060701,9.92722225189209,-113.87556,48.400734,FALSE,TRUE,556248046720,2.10832828644471,26383369719808
"Run04413_Seq0045_Scan003",20060701,9.93611145019531,-114.5366,46.708344,FALSE,TRUE,159742812384,0.605467815826683,26383369719808
"Run04413_Seq0045_Scan004",20060701,9.93611145019531,-115.13879,45.085434,FALSE,TRUE,4880991423,0.018500257832249,26383369719808
"Run04413_Seq0046_Scan003",20060701,9.95388889312744,-116.26575,41.831264,FALSE,TRUE,15607149038,0.0591552527359025,26383369719808
"Run04413_Seq0046_Scan004",20060701,9.96277809143066,-116.79566,40.200645,FALSE,TRUE,9545589847,0.0361803285492884,26383369719808
"Run04413_Seq0047_Scan002",20060701,9.97166633605957,-117.28431,38.640125,FALSE,TRUE,18702200855,0.0708863236713801,26383369719808
"Run04413_Seq0047_Scan003",20060701,9.98055553436279,-117.7989,36.934418,FALSE,TRUE,65046280528,0.24654273210281,26383369719808
"Run04413_Seq0047_Scan004",20060701,9.98944473266602,-118.27583,35.299232,FALSE,TRUE,732267972992,2.77549070027333,26383369719808
"Run04413_Seq0048_Scan002",20060701,9.99833297729492,-118.71895,33.733639,FALSE,TRUE,3815126297344,14.4603450501613,26383369719808
"Run04413_Seq0048_Scan003",20060701,10.0072221755981,-119.18853,32.022976,NA,TRUE,0,0,26383369719808
"Run04413_Seq0048_Scan004",20060701,10.0161113739014,-119.62661,30.382984,NA,TRUE,0,0,26383369719808
"Run04413_Seq0111_Scan004",20060701,11.48277759552,-124.51472,68.91394,FALSE,TRUE,NA,NA,26383369719808
"Run04413_Seq0112_Scan002",20060701,11.4916667938232,-126.25742,67.455826,FALSE,TRUE,NA,NA,26383369719808
"Run04413_Seq0112_Scan003",20060701,11.4916667938232,-127.94513,65.845581,FALSE,TRUE,NA,NA,26383369719808
"Run04413_Seq0112_Scan004",20060701,11.5005559921265,-129.38647,64.291183,FALSE,TRUE,NA,NA,26383369719808
"Run04413_Seq0380_Scan004",20060701,17.7316665649414,-65.94574,34.642967,FALSE,TRUE,0,0,26383369719808
