soundingID,date,hour,Longitude,Latitude,inSmoke,GISExists,NOXEmission,NOXPercentOfMax,maxNOX,DOF
Run04413_Seq0041_Scan002,20060701,9.83833313,-101.53397,67.460205,FALSE,TRUE,NA,NA,2.64E+13,0.984442532
Run04413_Seq0042_Scan002,20060701,9.856111526,-105.91029,62.797424,FALSE,TRUE,NA,NA,2.64E+13,0.084534563
Run04413_Seq0042_Scan003,20060701,9.864999771,-107.14538,61.152618,FALSE,TRUE,NA,NA,2.64E+13,0.415017754
Run04413_Seq0042_Scan004,20060701,9.873888969,-108.2246,59.568893,FALSE,TRUE,NA,NA,2.64E+13,0.883569956
Run04413_Seq0043_Scan002,20060701,9.873888969,-109.17542,58.047615,FALSE,TRUE,NA,NA,2.64E+13,0.589499772
Run04413_Seq0043_Scan003,20060701,9.882778168,-110.13525,56.380848,FALSE,TRUE,NA,NA,2.64E+13,0.367288947
Run04413_Seq0043_Scan004,20060701,9.891666412,-110.9882,54.779076,TRUE,TRUE,NA,NA,2.64E+13,0.980979919
Run04413_Seq0044_Scan004,20060701,9.918333054,-113.23773,49.946857,FALSE,TRUE,1.31E+12,4.96758876,2.64E+13,0.505050302
Run04413_Seq0045_Scan002,20060701,9.927222252,-113.87556,48.400734,FALSE,TRUE,5.56E+11,2.108328286,2.64E+13,0.455518752
Run04413_Seq0045_Scan003,20060701,9.93611145,-114.5366,46.708344,FALSE,TRUE,1.60E+11,0.605467816,2.64E+13,0.436375886
Run04413_Seq0045_Scan004,20060701,9.93611145,-115.13879,45.085434,FALSE,TRUE,4880991423,0.018500258,2.64E+13,0.762831271
Run04413_Seq0046_Scan003,20060701,9.953888893,-116.26575,41.831264,FALSE,TRUE,15607149038,0.059155253,2.64E+13,0.722359657
Run04413_Seq0046_Scan004,20060701,9.962778091,-116.79566,40.200645,FALSE,TRUE,9545589847,0.036180329,2.64E+13,0.143977463
Run04413_Seq0047_Scan002,20060701,9.971666336,-117.28431,38.640125,FALSE,TRUE,18702200855,0.070886324,2.64E+13,0.103649661
Run04413_Seq0047_Scan003,20060701,9.980555534,-117.7989,36.934418,FALSE,TRUE,65046280528,0.246542732,2.64E+13,0.9758057
Run04413_Seq0047_Scan004,20060701,9.989444733,-118.27583,35.299232,FALSE,TRUE,7.32E+11,2.7754907,2.64E+13,0.95512557
Run04413_Seq0048_Scan002,20060701,9.998332977,-118.71895,33.733639,FALSE,TRUE,3.82E+12,14.46034505,2.64E+13,0.705471635
Run04413_Seq0048_Scan003,20060701,10.00722218,-119.18853,32.022976,NA,TRUE,0,0,2.64E+13,0.844373643
Run04413_Seq0048_Scan004,20060701,10.01611137,-119.62661,30.382984,NA,TRUE,0,0,2.64E+13,0.480312526
Run04413_Seq0111_Scan004,20060701,11.4827776,-124.51472,68.91394,FALSE,TRUE,NA,NA,2.64E+13,0.099853426
Run04413_Seq0112_Scan002,20060701,11.49166679,-126.25742,67.455826,FALSE,TRUE,NA,NA,2.64E+13,0.78682214
Run04413_Seq0112_Scan003,20060701,11.49166679,-127.94513,65.845581,FALSE,TRUE,NA,NA,2.64E+13,0.81408298
Run04413_Seq0112_Scan004,20060701,11.50055599,-129.38647,64.291183,FALSE,TRUE,NA,NA,2.64E+13,0.701715112
Run04413_Seq0380_Scan004,20060701,17.73166656,-65.94574,34.642967,FALSE,TRUE,0,0,2.64E+13,0.729944229
Run04413_Seq0381_Scan002,20060701,17.73166656,-66.395676,36.207642,FALSE,TRUE,0,0,2.64E+13,0.787126005
Run04413_Seq0381_Scan003,20060701,17.74055481,-66.903503,37.914413,TRUE,TRUE,0,0,2.64E+13,0.777254879
Run04413_Seq0381_Scan004,20060701,17.74055481,-67.406708,39.547199,TRUE,TRUE,0,0,2.64E+13,0.872459173
